             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            194284     small piyus_sr piyus.sr  R   19:54:14     23 cn[016-019,054-057,081-084,100-106,212],hm[023-025]
            194300     small piyus_sr piyus.sr  R   17:58:22     13 cn[004-007,020,081-082,152,166,211-212],hm[032,039]
            193968     small submit_m shaharia  R 1-13:27:31      5 cn[110-113],hm074
            194549     small sigma_yx juhi_s.i  R    1:43:47      3 cn[123,144],hm071
            194554     small sigma_yx juhi_s.i  R       3:04      3 hm[055-057]
            194633     small go_solve rahul.ii  R      44:44     14 cn[004-007,009,023-025,083-084],hm[067-070]
            194439     small s_gaurah s_gaurah  R    4:17:11     14 cn[035-036,118-122,142-143,179-183]
            193592     small       10 pushpend  R 2-03:08:54      4 cn[112-115]
            194329     small        9 pushpend  R   15:58:01      4 cn127,hm[067-069]
            194430     small Darrieus upendra_  R    4:30:37      3 cn[058-060]
            194298     small     76Ge d_patel.  R   14:49:28      3 cn[051,206-207]
            193392     small       11 shivam_g  R 2-17:13:23      4 cn[030,076,110,121]
            194190     small Trans_PP prashant  R   23:00:46      3 cn[001-003]
            194526     small 1_BCNa_d akhilesh  R    3:06:30      3 cn[037-039]
            194364     small      322 neha_s.i  R   10:13:34     10 cn[042-045,052,145-149]
            193190     small nebpoagc nkushwah  R 2-15:21:24      4 cn[184-187]
            194286     small N5TSR1.2 kommired  R   10:58:14      3 cn[164-165,205]
            193133     small edb97ef0 akansh1.  R   10:13:34      3 cn[053,208-209]
            193196     small nebpoagc vimal.sr  R 2-11:46:41      4 cn[070-073]
            194381     small N5TSR1.2 kommired  R   10:13:03      3 cn[021,074-075]
            193194     small Ag2O-Al2 pkumar14  R 2-10:48:47      4 cn[047-050]
            193403     small   md_800 maarish.  R    8:47:44     10 cn[008,065-067,137,174-178]
            194176     small     Test soumendu  R    9:04:13      4 cn[035,061,210],hm070
            193402     small  md_1200 maarish.  R    9:43:52     10 cn[046,069,088-091,150,161-163]
            194175     small     Test soumendu  R    9:09:45      4 cn[129-130,196-197]
            194174     small     Test soumendu  R   10:16:36      4 cn[016-019]
            193594     small        2 rprakash  R    6:50:37      4 cn[023-025,141]
            193593     small        1 rprakash  R    7:51:16      4 cn[100-103]
            194169     small     Test abhishek  R    6:35:07      4 cn[118-120],hm038
            193816     small        I monika2.  R 1-06:39:22      3 cn[085-087]
            194173     small     Test soumendu  R   23:51:38      4 cn[054-057]
            193145     small 5e6d1ae5 akansh1.  R 2-07:09:49      4 hm[027-030]
            193144     small a33f69f9 akansh1.  R 2-07:23:35      4 cn[214-217]
            193131     small 62777b1f akansh1.  R 2-10:10:51      4 cn[026-029]
            194483     small        I puneet.i  R    3:17:26      3 hm[013-015]
            193362     small        8 vishal_k  R 2-15:55:12      4 cn[009,036,191-192]
            193078     small  HE_1200 saumyar_  R 2-05:34:41     10 cn[138-140,153-159]
            193401     small  md_1000 maarish.  R 2-04:59:01     10 cn[077-080,188-190,198-200]
